day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2019-11-15,43,1091703,102355,327213,27267,1554359.37,"{""direct"":422361,""email"":104869,""organic"":254207,""paid_search"":114102}"
2020-04-02,43,885784,84549,278953,410,40524.01,"{""direct"":284820,""email"":126412,""organic"":221286,""paid_search"":114397}"
2019-12-30,43,1556529,118433,459691,2267,110945.63,"{""direct"":650897,""email"":86943,""organic"":366003,""paid_search"":210911}"
2019-09-28,43,570025,58306,160547,6658,412756.25,"{""direct"":189934,""email"":28384,""organic"":160666,""paid_search"":103369}"
2019-05-02,43,881690,94567,267224,25591,3979161.33,"{""direct"":303713,""email"":70278,""organic"":249850,""paid_search"":84076}"
2020-04-12,43,1243672,101808,401727,34,183510,"{""direct"":443182,""email"":78499,""organic"":410979,""paid_search"":172237}"
2019-11-07,43,642381,67734,208555,21169,1248169.91,"{""direct"":231228,""email"":49357,""organic"":190727,""paid_search"":76554}"
2019-08-17,43,554393,55650,175419,23021,1356827.7,"{""direct"":222428,""email"":46642,""organic"":189650,""paid_search"":40263}"
2020-05-07,43,1032917,103786,311472,580,137436.17,"{""direct"":309897,""email"":57758,""organic"":339287,""paid_search"":113709}"
2020-02-27,43,655785,64357,209055,19496,1073017.06,"{""direct"":286066,""email"":59704,""organic"":160927,""paid_search"":92527}"
2019-08-16,43,489181,50935,141956,23821,1311173.33,"{""direct"":178592,""email"":29400,""organic"":168921,""paid_search"":36678}"
2020-04-16,43,887976,83423,276804,425,72960.53,"{""direct"":296837,""email"":36306,""organic"":264379,""paid_search"":137667}"
2019-06-17,43,1217924,104614,344124,1934,100371.89,"{""direct"":432133,""email"":54788,""organic"":346250,""paid_search"":134139}"
2020-05-10,43,1453108,141982,468681,122,-8966.6,"{""direct"":457411,""email"":104757,""organic"":508040,""paid_search"":162576}"
2019-12-08,43,1250762,130095,373861,17910,969196.05,"{""direct"":405691,""email"":73901,""organic"":417271,""paid_search"":164611}"
2019-10-23,43,573920,67807,178200,20354,1181374.43,"{""direct"":186157,""email"":52058,""organic"":127353,""paid_search"":89306}"
2020-01-14,43,1766832,138885,571033,2572,85888.71,"{""direct"":752933,""email"":136800,""organic"":376086,""paid_search"":282258}"
2019-09-09,43,232152,38568,47254,16802,992505.27,"{""direct"":44299,""email"":3477,""organic"":41282,""paid_search"":20480}"
